행정구역별,산업별,종사자규모별,항목,단위,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년
전국,"농업, 임업 및 어업(01~03)",300 - 499명,종사자수,명,0,0,0,0,0,0,0,0,0,0
전국,"농업, 임업 및 어업(01~03)",500 - 999명,사업체수,개,1,1,2,2,1,1,1,1,1,0
전국,"농업, 임업 및 어업(01~03)",500 - 999명,종사자수,명,0,0,0,0,0,0,0,0,0,0
전국,"농업, 임업 및 어업(01~03)",1000명 이상,사업체수,개,0,0,0,0,0,0,0,0,0,1
전국,"농업, 임업 및 어업(01~03)",1000명 이상,종사자수,명,0,0,0,0,0,0,0,0,0,0
전국,광업(05~08),계,사업체수,개,1752,1781,1836,1881,2002,2006,2012,2001,1916,1776
전국,광업(05~08),계,종사자수,명,15981,15428,15473,15415,15642,15663,15861,15421,14998,14887
전국,광업(05~08),1 - 4명,사업체수,개,1193,1209,1227,1286,1358,1373,1397,1387,1336,1196
전국,광업(05~08),1 - 4명,종사자수,명,2970,2968,3055,3112,3308,3131,3113,3120,2777,2519
전국,광업(05~08),5 - 9명,사업체수,개,179,217,239,235,301,277,256,266,255,205
전국,광업(05~08),5 - 9명,종사자수,명,1215,1470,1532,1559,2021,1859,1767,1814,1781,1389
전국,광업(05~08),10 - 19명,사업체수,개,205,203,216,189,174,176,171,166,137,185
전국,광업(05~08),10 - 19명,종사자수,명,2889,2773,2981,2573,2472,2436,2408,2377,1986,2555
전국,광업(05~08),20 - 49명,사업체수,개,150,125,126,145,145,149,158,156,161,160
전국,광업(05~08),20 - 49명,종사자수,명,4369,3628,3497,4132,4202,4203,4573,4664,4754,4677
전국,광업(05~08),50 - 99명,사업체수,개,17,20,20,19,17,25,24,18,20,24
전국,광업(05~08),50 - 99명,종사자수,명,1134,1360,1324,1285,1180,1719,1680,1161,1354,1596
전국,광업(05~08),100 - 299명,사업체수,개,4,3,4,3,4,3,3,5,3,3
전국,광업(05~08),100 - 299명,종사자수,명,569,483,587,382,633,479,486,662,373,560
전국,광업(05~08),300 - 499명,사업체수,개,1,1,2,2,1,1,1,1,2,2
전국,광업(05~08),300 - 499명,종사자수,명,0,0,0,0,0,0,0,0,0,0
전국,광업(05~08),500 - 999명,사업체수,개,3,3,2,2,2,2,2,2,2,1
전국,광업(05~08),500 - 999명,종사자수,명,2450,2361,0,0,0,0,0,0,0,0
전국,광업(05~08),1000명 이상,사업체수,개,0,0,0,0,0,0,0,0,0,0
전국,광업(05~08),1000명 이상,종사자수,명,0,0,0,0,0,0,0,0,0,0
전국,제조업(10~34),계,사업체수,개,336908,351346,371906,382575,409232,428643,430948,433684,437024,440766
전국,제조업(10~34),계,종사자수,명,3422439,3625989,3718188,3825678,3981938,4102259,4097338,4103986,4105871,4123817
전국,제조업(10~34),1 - 4명,사업체수,개,221869,228504,239809,245173,261271,275818,275391,275223,276695,277958
전국,제조업(10~34),1 - 4명,종사자수,명,465940,473846,483512,497537,537438,571410,579303,582859,578742,584984
전국,제조업(10~34),5 - 9명,사업체수,개,52725,59617,68226,71482,78846,82843,87151,89041,91203,92913
전국,제조업(10~34),5 - 9명,종사자수,명,356913,400745,456882,468513,518682,550596,581319,603973,620610,624885
전국,제조업(10~34),10 - 19명,사업체수,개,31996,31839,32180,32625,34194,34729,32669,34512,33700,34026
전국,제조업(10~34),10 - 19명,종사자수,명,432570,427311,443022,440666,459339,468612,445263,465406,455332,454369
전국,제조업(10~34),20 - 49명,사업체수,개,20778,21385,21662,22760,24050,24125,24580,23903,24585,25095
전국,제조업(10~34),20 - 49명,종사자수,명,622405,639381,661943,687288,723473,725374,736538,714981,733081,749185
전국,제조업(10~34),50 - 99명,사업체수,개,5805,6020,5944,6316,6635,6790,6895,6880,6823,6695
전국,제조업(10~34),50 - 99명,종사자수,명,396916,413753,414057,436546,455792,466210,472893,473410,467925,457607
전국,제조업(10~34),100 - 299명,사업체수,개,3142,3335,3408,3522,3536,3614,3569,3438,3343,3395
전국,제조업(10~34),100 - 299명,종사자수,명,493707,524591,539089,558070,553752,566630,564788,545202,529992,539547
전국,제조업(10~34),300 - 499명,사업체수,개,304,329,365,389,384,400,370,372,354,369
전국,제조업(10~34),300 - 499명,종사자수,명,114412,123978,136823,146125,142979,150228,138681,141339,134083,140155
전국,제조업(10~34),500 - 999명,사업체수,개,173,196,191,185,196,199,204,192,200,196
전국,제조업(10~34),500 - 999명,종사자수,명,114890,132284,129763,124725,133150,131213,137599,128963,134992,133480
전국,제조업(10~34),1000명 이상,사업체수,개,116,121,121,123,120,125,119,123,121,119
전국,제조업(10~34),1000명 이상,종사자수,명,424686,490100,453097,466208,457333,471986,440954,447853,451114,439605
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",계,사업체수,개,951,985,1067,1121,1302,1393,1584,1829,2343,3119
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",계,종사자수,명,51562,51676,50506,53595,55388,57364,58688,61185,64066,67526
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",1 - 4명,사업체수,개,313,324,390,409,499,598,769,999,1453,2168
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",1 - 4명,종사자수,명,747,861,919,978,1136,1338,1591,2137,2579,3078
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",5 - 9명,사업체수,개,154,161,180,182,232,198,218,209,271,279
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",5 - 9명,종사자수,명,1058,1100,1197,1217,1532,1311,1441,1377,1778,1752
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",10 - 19명,사업체수,개,49,62,60,65,86,89,100,106,103,134
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",10 - 19명,종사자수,명,678,873,812,870,1129,1200,1392,1421,1434,1790
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",20 - 49명,사업체수,개,187,194,206,214,228,231,221,239,227,227
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",20 - 49명,종사자수,명,6315,6557,7015,7258,7687,7872,7703,8153,7834,7732
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",50 - 99명,사업체수,개,148,147,136,151,150,168,176,163,171,190
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",50 - 99명,종사자수,명,10723,10297,9557,10518,10526,11744,12391,11402,12041,13327
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",100 - 299명,사업체수,개,70,67,69,70,78,86,72,82,84,85
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",100 - 299명,종사자수,명,11851,11944,12327,12452,13684,15355,13132,14420,14713,14596
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",300 - 499명,사업체수,개,16,16,12,15,15,11,16,18,21,22
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",300 - 499명,종사자수,명,5786,5838,4170,5116,5164,4031,5841,6737,8004,8448
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",500 - 999명,사업체수,개,8,9,9,10,9,6,7,7,5,6
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",500 - 999명,종사자수,명,5664,6050,5746,6421,5805,3939,5365,5397,3524,4148
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",1000명 이상,사업체수,개,6,5,5,5,5,6,5,6,8,8
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",1000명 이상,종사자수,명,8740,8156,8763,8765,8725,10574,9832,10141,12159,12655
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,사업체수,개,5996,6520,7089,7565,8366,8525,8521,8533,8972,9423
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,종사자수,명,84132,87804,89315,95103,99187,101983,102578,103413,108906,114085
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",1 - 4명,사업체수,개,2335,2664,3163,3311,3813,3927,3939,3994,4156,4471
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",1 - 4명,종사자수,명,5918,6652,7506,7835,9089,9241,9581,9476,9706,10260
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",5 - 9명,사업체수,개,1352,1493,1603,1688,1944,1955,1919,1839,2007,1982
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",5 - 9명,종사자수,명,9031,9957,10589,11112,12714,12909,12646,12015,13148,12926
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",10 - 19명,사업체수,개,1080,1126,1073,1245,1241,1217,1237,1260,1308,1383
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",10 - 19명,종사자수,명,14753,15507,14707,16958,16966,16651,16754,17153,17790,18665
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",20 - 49명,사업체수,개,930,937,942,997,1031,1080,1072,1101,1130,1200
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",20 - 49명,종사자수,명,28159,28397,29010,30371,31193,32771,32543,33874,35272,37502
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",50 - 99명,사업체수,개,228,227,238,250,269,267,279,258,282,296
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",50 - 99명,종사자수,명,15256,15173,15986,16551,17866,17641,18722,17279,18582,20053
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",100 - 299명,사업체수,개,69,71,67,72,65,75,72,77,86,88
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",100 - 299명,종사자수,명,10282,10524,9831,10745,9542,10597,10474,11508,12555,12678
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",300 - 499명,사업체수,개,2,1,2,1,2,3,2,3,2,2
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",300 - 499명,종사자수,명,0,0,0,0,0,1032,0,1024,0,0
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",500 - 999명,사업체수,개,0,0,0,0,0,0,0,0,0,0
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",500 - 999명,종사자수,명,0,0,0,0,0,0,0,0,0,0
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",1000명 이상,사업체수,개,0,0,0,0,0,0,0,0,0,0
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",1000명 이상,종사자수,명,0,0,0,0,0,0,0,0,0,0
전국,건설업(41~42),계,사업체수,개,98859,106059,111181,118767,129667,133797,137220,138478,142840,146293
전국,건설업(41~42),계,종사자수,명,1176826,1117786,1059721,1045603,1103794,1317337,1392554,1438640,1481673,1504466
전국,건설업(41~42),1 - 4명,사업체수,개,57576,61775,68529,72975,79784,80451,75540,77230,78121,73904
전국,건설업(41~42),1 - 4명,종사자수,명,117049,126128,138562,150645,168601,170300,159358,176838,179504,167350
전국,건설업(41~42),5 - 9명,사업체수,개,17396,22203,22554,25135,27977,28210,31600,31434,33435,40652
전국,건설업(41~42),5 - 9명,종사자수,명,116136,148006,146905,163757,181348,183116,199388,206553,219613,267421
전국,건설업(41~42),10 - 19명,사업체수,개,12163,12906,11390,12502,13215,14053,19528,19192,19689,20326
전국,건설업(41~42),10 - 19명,종사자수,명,163523,171072,150705,164394,173960,186375,253951,250946,257551,265646
전국,건설업(41~42),20 - 49명,사업체수,개,8125,6239,5827,5626,6105,7648,7184,7351,8149,8024
전국,건설업(41~42),20 - 49명,종사자수,명,242258,183273,172548,163575,177710,224942,209468,211786,235165,231185
전국,건설업(41~42),50 - 99명,사업체수,개,2172,1619,1732,1454,1477,1981,1776,1659,1859,1849
전국,건설업(41~42),50 - 99명,종사자수,명,146646,108958,118164,98045,97655,134381,119358,109932,123276,124291
전국,건설업(41~42),100 - 299명,사업체수,개,1089,988,882,836,885,1131,1212,1221,1210,1166
전국,건설업(41~42),100 - 299명,종사자수,명,174235,155205,139229,134494,143391,186435,191912,195199,195085,188879
전국,건설업(41~42),300 - 499명,사업체수,개,186,165,136,134,130,171,213,211,208,196
전국,건설업(41~42),300 - 499명,종사자수,명,69974,60692,49674,49665,47913,66068,80240,79249,76356,71055
전국,건설업(41~42),500 - 999명,사업체수,개,107,115,85,66,63,99,116,119,109,118
전국,건설업(41~42),500 - 999명,종사자수,명,73799,79449,58215,43101,42535,68264,77603,81239,73904,79399
전국,건설업(41~42),1000명 이상,사업체수,개,45,49,46,39,31,53,51,61,60,58
전국,건설업(41~42),1000명 이상,종사자수,명,73206,85003,85719,77927,70681,97456,101276,126898,121219,109240
전국,도매 및 소매업(45~47),계,사업체수,개,873632,901399,939357,957058,993971,1015117,1017340,1022739,1027109,1028323
전국,도매 및 소매업(45~47),계,종사자수,명,2618185,2689305,2782007,2885740,3007745,3129601,3141900,3173320,3250867,3289652
전국,도매 및 소매업(45~47),1 - 4명,사업체수,개,786570,808705,838195,849228,879597,894582,894254,897145,893541,892382
전국,도매 및 소매업(45~47),1 - 4명,종사자수,명,1435821,1475667,1515498,1530829,1595185,1625889,1619584,1644100,1624686,1651276
전국,도매 및 소매업(45~47),5 - 9명,사업체수,개,55478,60271,68935,72693,78329,82710,84859,88078,93259,94813
전국,도매 및 소매업(45~47),5 - 9명,종사자수,명,352827,385303,431536,452588,489474,514012,528033,545886,581971,586164
전국,도매 및 소매업(45~47),10 - 19명,사업체수,개,20379,21300,20940,22934,23539,24520,24985,24506,26692,26949
전국,도매 및 소매업(45~47),10 - 19명,종사자수,명,266350,277738,274826,299517,308031,318658,325897,318638,346971,350225
전국,도매 및 소매업(45~47),20 - 49명,사업체수,개,8440,8529,8546,9360,9588,10102,10027,9814,10394,10928
전국,도매 및 소매업(45~47),20 - 49명,종사자수,명,238322,242044,242929,263816,272300,286289,285466,279773,296282,313045
전국,도매 및 소매업(45~47),50 - 99명,사업체수,개,1733,1614,1714,1726,1794,1973,1987,1994,2053,2106
전국,도매 및 소매업(45~47),50 - 99명,종사자수,명,118181,111251,116589,115853,120742,132178,133793,133193,138196,142570
전국,도매 및 소매업(45~47),100 - 299명,사업체수,개,891,845,895,989,994,1079,1065,1041,1008,981
전국,도매 및 소매업(45~47),100 - 299명,종사자수,명,133475,128977,134243,155363,153352,166884,161972,158271,154947,150439
전국,도매 및 소매업(45~47),300 - 499명,사업체수,개,97,95,88,82,83,92,108,101,105,111
전국,도매 및 소매업(45~47),300 - 499명,종사자수,명,35869,34720,32503,30352,31207,35312,40247,37441,39230,42226
전국,도매 및 소매업(45~47),500 - 999명,사업체수,개,34,32,38,38,41,49,43,43,39,38
전국,도매 및 소매업(45~47),500 - 999명,종사자수,명,21994,20985,25750,25844,27489,33750,31097,31924,29182,28924
전국,도매 및 소매업(45~47),1000명 이상,사업체수,개,10,8,6,8,6,10,12,17,18,15
전국,도매 및 소매업(45~47),1000명 이상,종사자수,명,15346,12620,8133,11578,9965,16629,15811,24094,39402,24783
전국,운수 및 창고업(49~52),계,사업체수,개,347289,354142,364349,371628,379044,379388,385968,386919,400282,409288
전국,운수 및 창고업(49~52),계,종사자수,명,989773,998457,1012741,1015915,1049058,1096051,1111060,1115990,1145752,1155965
전국,운수 및 창고업(49~52),1 - 4명,사업체수,개,329489,335682,344938,351581,357557,357537,362558,363398,375916,385367
전국,운수 및 창고업(49~52),1 - 4명,종사자수,명,359528,366509,375689,382864,391577,389963,395298,394777,407047,423315
전국,운수 및 창고업(49~52),5 - 9명,사업체수,개,6473,7095,8038,8350,9039,8683,9272,9225,10048,9510
전국,운수 및 창고업(49~52),5 - 9명,종사자수,명,42861,46925,51964,53957,58188,57626,61183,60545,65839,61597
전국,운수 및 창고업(49~52),10 - 19명,사업체수,개,4667,4777,4645,4856,5220,5287,6402,6364,6280,6343
전국,운수 및 창고업(49~52),10 - 19명,종사자수,명,63444,64140,62323,64987,70039,71408,85376,85240,83883,84746
전국,운수 및 창고업(49~52),20 - 49명,사업체수,개,3711,3654,3645,3759,4075,4541,4338,4598,4648,4679
전국,운수 및 창고업(49~52),20 - 49명,종사자수,명,114120,110843,111962,114766,124956,138352,132612,140154,141780,142124
전국,운수 및 창고업(49~52),50 - 99명,사업체수,개,1525,1491,1619,1669,1734,1839,1868,1805,1839,1914
전국,운수 및 창고업(49~52),50 - 99명,종사자수,명,106086,104034,112910,115888,120076,127679,129256,122420,124508,132783
전국,운수 및 창고업(49~52),100 - 299명,사업체수,개,1267,1286,1315,1277,1293,1348,1387,1391,1390,1322
전국,운수 및 창고업(49~52),100 - 299명,종사자수,명,202978,204022,206061,199220,201451,210980,214766,217522,209905,203501
전국,운수 및 창고업(49~52),300 - 499명,사업체수,개,102,102,98,95,83,98,92,88,102,95
전국,운수 및 창고업(49~52),300 - 499명,종사자수,명,38499,38523,36710,36305,31468,35955,33626,32550,37194,34572
전국,운수 및 창고업(49~52),500 - 999명,사업체수,개,44,44,45,35,35,41,41,39,42,41
전국,운수 및 창고업(49~52),500 - 999명,종사자수,명,28838,28823,29649,22032,22007,26765,27625,27792,29783,28225
전국,운수 및 창고업(49~52),1000명 이상,사업체수,개,11,11,6,6,8,14,10,11,17,17
전국,운수 및 창고업(49~52),1000명 이상,종사자수,명,33419,34638,25473,25896,29296,37323,31318,34990,45813,45102
전국,숙박 및 음식점업(55~56),계,사업체수,개,636278,654892,673064,685669,702596,710248,729175,747577,766315,785706
전국,숙박 및 음식점업(55~56),계,종사자수,명,1760917,1834978,1909081,1986673,2067166,2114297,2162823,2214879,2326716,2384828
전국,숙박 및 음식점업(55~56),1 - 4명,사업체수,개,583121,594565,598450,605700,616660,617466,633168,649333,656577,668943
전국,숙박 및 음식점업(55~56),1 - 4명,종사자수,명,1221273,1245204,1233721,1259000,1288747,1264195,1304871,1366699,1372738,1416720
전국,숙박 및 음식점업(55~56),5 - 9명,사업체수,개,39709,45825,59862,63667,68664,73671,76725,80150,87580,94479
전국,숙박 및 음식점업(55~56),5 - 9명,종사자수,명,249395,290604,366753,390137,421605,453810,469909,489209,540034,560240
전국,숙박 및 음식점업(55~56),10 - 19명,사업체수,개,9821,10927,11093,12224,13110,14329,14675,13879,17634,17880
전국,숙박 및 음식점업(55~56),10 - 19명,종사자수,명,125278,137995,140965,154091,165789,180033,183731,173797,220541,220001
전국,숙박 및 음식점업(55~56),20 - 49명,사업체수,개,2857,2897,2903,3214,3229,3610,3499,3380,3749,3620
전국,숙박 및 음식점업(55~56),20 - 49명,종사자수,명,82556,85170,84486,92365,93228,103374,99384,98101,107588,102032
전국,숙박 및 음식점업(55~56),50 - 99명,사업체수,개,613,514,579,668,738,928,902,645,581,595
전국,숙박 및 음식점업(55~56),50 - 99명,종사자수,명,40388,34570,38836,44295,48948,62069,58677,41173,37525,37777
전국,숙박 및 음식점업(55~56),100 - 299명,사업체수,개,125,133,141,157,155,202,168,149,148,144
전국,숙박 및 음식점업(55~56),100 - 299명,종사자수,명,20680,21450,21758,24011,25111,29591,25707,23815,23663,23087
전국,숙박 및 음식점업(55~56),300 - 499명,사업체수,개,17,13,17,23,21,32,25,26,27,23
전국,숙박 및 음식점업(55~56),300 - 499명,종사자수,명,7098,5209,6502,9002,8414,12524,9763,9964,10227,8794
전국,숙박 및 음식점업(55~56),500 - 999명,사업체수,개,11,14,15,11,14,6,9,11,15,18
전국,숙박 및 음식점업(55~56),500 - 999명,종사자수,명,7886,10096,10431,7175,8989,4084,5480,7072,10025,11931
전국,숙박 및 음식점업(55~56),1000명 이상,사업체수,개,4,4,4,5,5,4,4,4,4,4
전국,숙박 및 음식점업(55~56),1000명 이상,종사자수,명,6363,4680,5629,6597,6335,4617,5301,5049,4375,4246
전국,정보통신업(58~63),계,사업체수,개,26299,29902,33779,35290,40304,42425,42539,42887,43888,45303
전국,정보통신업(58~63),계,종사자수,명,464158,476412,493205,509785,528102,562946,567284,575886,599006,606964
전국,정보통신업(58~63),1 - 4명,사업체수,개,12826,14844,18626,19596,23231,24415,24271,25281,25787,27911
전국,정보통신업(58~63),1 - 4명,종사자수,명,30319,34214,40323,41587,48773,50535,50772,51472,52253,56306
전국,정보통신업(58~63),5 - 9명,사업체수,개,5595,6684,6907,7056,7958,8248,8521,8004,8259,7843
전국,정보통신업(58~63),5 - 9명,종사자수,명,36408,43784,44538,45664,51336,53106,54933,51690,53431,50461
전국,정보통신업(58~63),10 - 19명,사업체수,개,3503,3862,3707,3958,4255,4618,4723,4497,4653,4315
전국,정보통신업(58~63),10 - 19명,종사자수,명,46769,51182,49170,52661,56331,61626,62599,59822,61655,58137
전국,정보통신업(58~63),20 - 49명,사업체수,개,2658,2797,2760,2810,2989,3161,3070,3142,3171,3114
전국,정보통신업(58~63),20 - 49명,종사자수,명,81465,85948,84384,85970,89909,96589,93361,95445,95556,94009
전국,정보통신업(58~63),50 - 99명,사업체수,개,951,970,991,1043,1054,1138,1056,1045,1084,1162
전국,정보통신업(58~63),50 - 99명,종사자수,명,65604,67201,67951,72658,72354,78335,72232,71217,75110,79792
전국,정보통신업(58~63),100 - 299명,사업체수,개,606,591,627,663,671,687,737,732,748,755
전국,정보통신업(58~63),100 - 299명,종사자수,명,95817,94889,100140,104898,107674,111872,118428,117743,123062,123270
전국,정보통신업(58~63),300 - 499명,사업체수,개,93,92,100,101,92,99,98,121,114,122
전국,정보통신업(58~63),300 - 499명,종사자수,명,34658,34352,36973,39171,34871,38069,37656,45702,43438,46175
전국,정보통신업(58~63),500 - 999명,사업체수,개,49,43,38,40,37,38,43,41,47,57
전국,정보통신업(58~63),500 - 999명,종사자수,명,32192,27841,26163,25778,25058,25249,28169,26261,31661,37179
전국,정보통신업(58~63),1000명 이상,사업체수,개,18,19,23,23,17,21,20,24,25,24
전국,정보통신업(58~63),1000명 이상,종사자수,명,40926,37001,43563,41398,41796,47565,49134,56534,62840,61635
전국,금융 및 보험업(64~66),계,사업체수,개,39485,40814,41799,41609,41969,42192,42809,43514,43568,43555
전국,금융 및 보험업(64~66),계,종사자수,명,714769,726870,724771,707246,705824,745257,730963,726907,711494,715399
전국,금융 및 보험업(64~66),1 - 4명,사업체수,개,10564,10963,11373,11623,12200,11540,11949,13254,13843,14822
전국,금융 및 보험업(64~66),1 - 4명,종사자수,명,24381,25699,26010,26550,27365,26166,27206,29422,30346,33618
전국,금융 및 보험업(64~66),5 - 9명,사업체수,개,9525,9646,10123,10270,10184,11333,10993,10614,10824,10682
전국,금융 및 보험업(64~66),5 - 9명,종사자수,명,66656,68101,70896,71568,70654,78089,75645,72986,74410,73027
전국,금융 및 보험업(64~66),10 - 19명,사업체수,개,10591,11133,11138,10731,10757,10090,10779,10716,10505,10003
전국,금융 및 보험업(64~66),10 - 19명,종사자수,명,139656,146324,146318,141168,142278,133241,142390,141693,138461,133222
전국,금융 및 보험업(64~66),20 - 49명,사업체수,개,6703,6935,7064,6991,6868,7141,7111,6990,6442,5944
전국,금융 및 보험업(64~66),20 - 49명,종사자수,명,208242,213383,220585,217378,211784,223610,218994,215582,196676,184138
전국,금융 및 보험업(64~66),50 - 99명,사업체수,개,1568,1537,1557,1456,1432,1537,1420,1380,1347,1495
전국,금융 및 보험업(64~66),50 - 99명,종사자수,명,100703,98628,99558,92584,91378,98034,91021,88051,86252,96239
전국,금융 및 보험업(64~66),100 - 299명,사업체수,개,378,440,391,391,377,398,407,411,447,440
전국,금융 및 보험업(64~66),100 - 299명,종사자수,명,57672,64982,58401,60164,59562,63661,64120,65663,68336,69000
전국,금융 및 보험업(64~66),300 - 499명,사업체수,개,83,84,83,79,74,67,73,62,80,77
전국,금융 및 보험업(64~66),300 - 499명,종사자수,명,31545,32618,32315,29875,27986,24980,28189,23418,30980,29222
전국,금융 및 보험업(64~66),500 - 999명,사업체수,개,40,49,42,39,50,53,48,55,48,57
